Country Group Code,Country Group
5100,Africa
5300,Asia
5501,Australia & New Zealand
5206,Caribbean
5204,Central America
5301,Central Asia
5306,Central Asia and Southern Asia
5854,East Asia (exc China)
5101,Eastern Africa
5302,Eastern Asia
5307,Eastern Asia and South-eastern Asia
5401,Eastern Europe
5400,Europe
5802,Land Locked Developing Countries
5205,Latin America and the Caribbean
5801,Least Developed Countries
5858,Low income economies
5815,Low Income Food Deficit Countries
5859,Lower-middle-income economies
5502,Melanesia
5503,Micronesia
5102,Middle Africa
429,North Africa (exc Sudan)
5103,Northern Africa
5203,Northern America
5208,Northern America and Europe
5402,Northern Europe
5500,Oceania
5807,Oceania excluding Australia and New Zealand
5504,Polynesia
5803,Small Island Developing States
5207,South America
5855,South Asia (exc India)
5304,South-Eastern Asia
5104,Southern Africa
5303,Southern Asia
5403,Southern Europe
420,Sub-Saharan Africa
5810,Sub-Saharan Africa (including Sudan)
5105,Western Africa
5305,Western Asia
5308,Western Asia and Northern Africa
5404,Western Europe
5000,World
